"Case ID","Case version","Specialty","Clinical topic","Reference ID","Organization","Title","Year","Recommendation or section","URL","Access date","Verification status","Review status"
"allergy-001","1.1.0","allergy-immunology","Assessment of every spring i sneeze nonstop with itchy eyes","BSACI-RHINITIS","BSACI","Rhinitis guideline","2026","","https://www.bsaci.org/guidelines/bsaci-guidelines/rhinitis/","2026-09-10","source-verified","source-verified-formative"
"allergy-004","1.1.0","allergy-immunology","Assessment of hives nearly every day for 4 months","EAACI-URTICARIA","EAACI/GA²LEN/EuroGuiDerm/APAAACI","International urticaria guideline","2026","","https://onlinelibrary.wiley.com/doi/10.1111/all.15090","2026-09-10","source-verified","source-verified-formative"
"allergy-006","1.1.0","allergy-immunology","Assessment of my asthma is worse when i'm home with pets","NICE-NG245","National Institute for Health and Care Excellence","NICE guidance NG245","2026","","https://www.nice.org.uk/guidance/ng245","2026-09-10","source-verified","source-verified-formative"
"card-001","1.1.0","cardiology","Assessment of my chest feels tight when i climb stairs. it goes away with rest","NICE-CG126","National Institute for Health and Care Excellence","NICE guidance CG126","2026","","https://www.nice.org.uk/guidance/cg126","2026-09-10","source-verified","source-verified-formative"
"card-002","1.1.0","cardiology","Assessment of my heart was racing and irregular for 2 hours yesterday","NICE-NG196","National Institute for Health and Care Excellence","NICE guidance NG196","2026","","https://www.nice.org.uk/guidance/ng196","2026-09-10","source-verified","source-verified-formative"
"card-003","1.1.0","cardiology","Assessment of i get short of breath walking to the mailbox and my ankles are swollen","NICE-NG106","National Institute for Health and Care Excellence","NICE guidance NG106","2026","","https://www.nice.org.uk/guidance/ng106","2026-09-10","source-verified","source-verified-formative"
"ctv-002","1.1.0","cardiothoracic-vascular-surgery","Assessment of a small spot was found on my lung scan and my doctor sent me here","BTS-NODULE","British Thoracic Society","Pulmonary nodules guideline","2026","","https://www.brit-thoracic.org.uk/quality-improvement/guidelines/pulmonary-nodules/","2026-09-10","source-verified","source-verified-formative"
"ctv-003","1.1.0","cardiothoracic-vascular-surgery","Assessment of my lung collapsed for the second time and the surgeon wants me to think about pleurodesis","BTS-PLEURAL","British Thoracic Society","Pleural disease guideline","2026","","https://www.brit-thoracic.org.uk/quality-improvement/guidelines/pleural-disease/","2026-09-10","source-verified","source-verified-formative"
"ctv-009","1.1.0","cardiothoracic-vascular-surgery","Assessment of my right calf cramps after one block of walking and stops me in my tracks","NICE-CG147","National Institute for Health and Care Excellence","NICE guidance CG147","2026","","https://www.nice.org.uk/guidance/cg147","2026-09-10","source-verified","source-verified-formative"
"derm-001","1.1.0","dermatology","Assessment of itchy scaly patches on my elbows and knees for years","NICE-CG153","National Institute for Health and Care Excellence","NICE guidance CG153","2026","","https://www.nice.org.uk/guidance/cg153","2026-09-10","source-verified","source-verified-formative"
"derm-003","1.1.0","dermatology","Assessment of my face has been breaking out badly for a year","NICE-NG198","National Institute for Health and Care Excellence","NICE guidance NG198","2026","","https://www.nice.org.uk/guidance/ng198","2026-09-10","source-verified","source-verified-formative"
"derm-008","1.1.0","dermatology","Assessment of a mole on my back has gotten bigger and changed color","NICE-NG14","National Institute for Health and Care Excellence","NICE guidance NG14","2026","","https://www.nice.org.uk/guidance/ng14","2026-09-10","source-verified","source-verified-formative"
"endo-001","1.1.0","endocrinology","Assessment of i'm always cold, exhausted, and my hair is thinning","NICE-NG145","National Institute for Health and Care Excellence","NICE guidance NG145","2026","","https://www.nice.org.uk/guidance/ng145","2026-09-10","source-verified","source-verified-formative"
"endo-002","1.1.0","endocrinology","Assessment of i've lost 6 kg, my heart races, and my eyes feel bulging","NICE-NG145","National Institute for Health and Care Excellence","NICE guidance NG145","2026","","https://www.nice.org.uk/guidance/ng145","2026-09-10","source-verified","source-verified-formative"
"endo-004","1.1.0","endocrinology","Assessment of my periods are irregular, i have facial hair, and struggle to lose weight","PCOS-2023","Monash University/International PCOS Network","2023 international evidence-based PCOS guideline","2023","","https://www.monash.edu/medicine/mchri/pcos/guideline","2026-09-10","source-verified","source-verified-formative"
